"year","country","iso3","cow","salary","salary_thousand"
"2022","ALBANIA","ALB","8","167,443.318018020","167.44"
"2022","ALGERIA","DZA","12","125,217.506563710","125.22"
"2022","ANGOLA","AGO","24","310,117.016988420","310.12"
"2022","ARGENTINA","ARG","32","139,061.318918920","139.06"
"2022","ARMENIA","ARM","51","113,435.201801800","113.44"
"2022","AUSTRALIA","AUS","36","492,943.754054050","492.94"
"2022","AUSTRIA","AUT","40","489,380.823423420","489.38"
"2022","AZERBAIJAN","AZE","31","107,129.051351350","107.13"
"2022","BAHAMAS (THE)","BHS","44","73,113.700900901","73.11"
"2022","BAHRAIN","BHR","48","5,741.000000000","5.74"
"2022","BANGLADESH","BGD","50","90,966.584684685","90.97"
"2022","BARBADOS","BRB","52","99,591.389446589","99.59"
"2022","BELARUS","BLR","112","102,504.468468470","102.50"
"2022","BELGIUM","BEL","56","810,085.719433720","810.09"
"2022","BELIZE","BLZ","84","104,068.318018020","104.07"
"2022","BENIN","BEM","204","37,248.688545689","37.25"
"2022","BOLIVIA (PLURINATIONAL STATE OF)","BOL","68","807,481.475804380","807.48"
"2022","BOSNIA AND HERZEGOVINA","BIH","70","106,551.934234230","106.55"
"2022","BOTSWANA","BWA","72","93,656.818018018","93.66"
"2022","BULGARIA","BGR","100","129,200.284684680","129.20"
"2022","BURKINA FASO","BFA","854","36,556.850450450","36.56"
"2022","CABO VERDE","CPV","132","120,601.284684680","120.60"
"2022","CAMEROON","CMR","120","179,585.122779920","179.59"
"2022","CANADA","CAN","124","918,596.057528960","918.60"
"2022","CHILE","CHL","152","457,997.154954950","458.00"
"2022","CHINA","CHN","156","1,184,605.299099100","1,184.61"
"2022","COLOMBIA","COL","170","453,128.324453020","453.13"
"2022","CONGO (THE DEMOCRATIC REPUBLIC OF THE)","COD","180","107,118.038996140","107.12"
"2022","CONGO (THE)","COG","178","48,339.155212355","48.34"
"2022","COSTA RICA","CRI","188","118,059.784684680","118.06"
"2022","COTE D'LVOIRE","CIV","384","78,961.434234234","78.96"
"2022","CROATIA","HRV","191","181,465.902702700","181.47"
"2022","CUBA","CUB","192","192,256.857014160","192.26"
"2022","CYPRUS","CYP","196","107,129.818018020","107.13"
"2022","CZECHIA","CZE","203","164,798.401801800","164.80"
"2022","DENMARK","DNK","208","115,518.284684680","115.52"
"2022","DOMINICAN REPUBLIC (THE)","DOM","214","141,059.589446590","141.06"
"2022","ECUADOR","ECU","218","411,050.027284430","411.05"
"2022","EGYPT","EGY","818","212,464.518918920","212.46"
"2022","EL SALVADOR","SLV","222","42,491.421879022","42.49"
"2022","EQUATORIAL GUINEA","GNQ","226","45,884.493307593","45.88"
"2022","ESTONIA","EST","233","92,433.667567568","92.43"
"2022","ETHIOPIA","ETH","231","132,755.168468470","132.76"
"2022","FINLAND","FIN","246","144,545.284684680","144.55"
"2022","FRANCE","FRA","250","1,647,870.895881600","1,647.87"
"2022","FRENCH GUIANA","GUF","254","112,605.205662810","112.61"
"2022","GABON","GAB","266","45,884.493307593","45.88"
"2022","GEORGIA","GEO","268","109,670.551351350","109.67"
"2022","GERMANY","DEU","276","967,345.362162160","967.35"
"2022","GHANA","GHA","288","126,109.818018020","126.11"
